corpus,dyad,index,speaker,start,stop,text
cid,ABCM,0,CM,0.6354,1.5474,c'est lamentable
cid,ABCM,1,AB,0.816,1.696,on l'assimile
cid,ABCM,2,CM,1.9676,4.6876,j'ai jamais vu une expérience comme ça c'est lamentable
cid,ABCM,3,AB,2.326,3.262,après on va la
cid,ABCM,4,CM,7.746,8.282,mh mh
cid,ABCM,5,CM,9.4138,9.9018,étais pas devant
cid,ABCM,6,CM,11.90415,12.22415,mh putain
cid,ABCM,7,CM,13.156,13.388,mh
cid,ABCM,8,CM,14.84015,16.20815,au revoir on peut commencer donc
cid,ABCM,9,CM,19.616,20.728,bon du coup on est enfermées euh
cid,ABCM,10,CM,21.08306,21.6339,tu sais pas
cid,ABCM,11,CM,22.5395,27.2515,si ça a commencé ça se trouve dans une heure ils vont nous dire euh ben finalement ça commence maintenant donc euh
cid,ABCM,12,AB,25.556,25.908,et bon
cid,ABCM,13,AB,26.4555,28.4395,tout et rien est insolite alors allons y
cid,ABCM,14,CM,28.05795,29.17795,tout et rien est insolite
cid,ABCM,15,AB,29.6151,33.3271,bon et si on pérorait sur ce qu'on voit à travers la vitre là c'est génial hein
cid,ABCM,16,CM,32.32283,35.4811,oh oui c'est tout à fait insolite ouais ouais ouais ouais ouais ouais surtout que là
cid,ABCM,17,AB,34.7741,36.2781,le petit se gratte ah
cid,ABCM,18,CM,36.426,37.33868,là ils nous voient pas
cid,ABCM,19,AB,36.986,38.794,et se mord les doigts ou non
cid,ABCM,20,CM,38.27041,39.772,par contre ils nous entendent hein attention
cid,ABCM,21,AB,39.42205,39.55805,ah
cid,ABCM,22,AB,39.98225,43.03025,non oui je crois non il reste discret c'est après
cid,ABCM,23,CM,40.29799,40.98996,nous entendent
cid,ABCM,24,CM,42.596,42.684,mh
cid,ABCM,25,CM,43.506,43.642,mh
cid,ABCM,26,AB,43.5627,46.9387,ils font les réglages encore un petit peu plus grave plus aigu euh
cid,ABCM,27,AB,48.226,48.642,bah alors
cid,ABCM,28,AB,49.046,49.662,l'insolite
cid,ABCM,29,CM,49.06985,51.06185,bon insolite allez cherche
cid,ABCM,30,AB,50.9347,51.8627,c'est bon comme sujet
cid,ABCM,31,AB,52.69195,54.51873,bah alors est ce que je vais remonter
cid,ABCM,32,CM,53.0821,55.1461,c'est ça n'évoque rien euh
cid,ABCM,33,CM,55.98415,59.2419,euh je suis pas sûre de de bien connaître la définition du mot de euh
cid,ABCM,34,CM,59.92244,60.466,d'insolite
cid,ABCM,35,AB,61.9124,66.5684,moi je peux prendre ça comme quelque chose d'inhabituel inusuel qui a l'air assez
cid,ABCM,36,CM,64.75594,65.866,ah oui inhabituel ouais
cid,ABCM,37,CM,67.3169,70.158,moi je verrais oui des choses où euh
cid,ABCM,38,AB,67.75425,68.45825,particulier
cid,ABCM,39,AB,68.936,70.208,aussi particulier
cid,ABCM,40,AB,70.88265,72.77065,qui ne coule pas de source qui
cid,ABCM,41,CM,70.896,74.50003,oui où tu perds un peu euh tu perds un peu comment dire euh
cid,ABCM,42,CM,75.37403,78.229,ouais euh des repères quoi tu vois c'est à cause
cid,ABCM,43,AB,76.04285,77.49885,qui peuvent être extraordinaires
cid,ABCM,44,AB,78.47875,78.63875,mh
cid,ABCM,45,CM,78.63557,79.66815,c'est euh ouais voilà ouais
cid,ABCM,46,CM,80.936,81.328,alors
cid,ABCM,47,CM,82.2122,84.8522,rien il m'est rien arrivé d'insolite dans ma vie c'est absolument rien
cid,ABCM,48,CM,86.30395,87.1319,euh
cid,ABCM,49,AB,87.40625,89.01425,tout était normal logique
cid,ABCM,50,CM,89.30096,90.13327,oui tout à fait
cid,ABCM,51,CM,92.63925,93.14325,insolite
cid,ABCM,52,CM,95.00001,95.604,euh
cid,ABCM,53,CM,96.09066,96.41065,si le
cid,ABCM,54,AB,96.196,99.244,bon je vois que tu es tellement à court d'idées allez vas y tu démarres vas y vas y
cid,ABCM,55,CM,97.55796,100.964,si j'ai j'ai y j'ai j'ai un truc et qui était extrêmement marrant
cid,ABCM,56,CM,101.606,105.144,alors euh qui était complètement ah voilà dé euh
cid,ABCM,57,CM,105.736,108.29452,désynchronisé d'une situation en fait ouais c'était
cid,ABCM,58,CM,108.836,113.04776,alors on était parti c'était le premier congrès que j'ai fait avec euh mh
cid,ABCM,59,CM,113.96559,115.41278,euh à montréal
