corpus,dyad,index,speaker,start,stop,text
cid,ABCM,0,CM,0.6354,1.5474,c'est lamentable
cid,ABCM,1,AB,0.816,1.696,on l'assimile
cid,ABCM,2,CM,1.9676,2.5196,j'ai jamais
cid,ABCM,3,AB,2.326,2.654,après
cid,ABCM,4,CM,2.5196,2.6876,vu
cid,ABCM,5,AB,2.654,2.726,on
cid,ABCM,6,CM,2.6876,2.8636,une
cid,ABCM,7,AB,2.726,2.926,va la
cid,ABCM,8,CM,2.8636,3.4796,expérience
cid,ABCM,9,CM,3.4796,4.6876,comme ça c'est lamentable
cid,ABCM,10,CM,7.746,8.282,mh mh
cid,ABCM,11,CM,9.4138,9.9018,étais pas devant
cid,ABCM,12,CM,11.90415,12.22415,mh putain
cid,ABCM,13,CM,13.156,13.388,mh
cid,ABCM,14,CM,14.84015,16.20815,au revoir on peut commencer donc
cid,ABCM,15,CM,19.616,20.728,bon du coup on est enfermées euh
cid,ABCM,16,CM,21.08306,21.6339,tu sais pas
cid,ABCM,17,CM,22.5395,25.5795,si ça a commencé ça se trouve dans une heure ils vont nous dire euh ben finalement
cid,ABCM,18,AB,25.556,25.69277,et
cid,ABCM,19,CM,25.5795,26.0435,ça commence
cid,ABCM,20,AB,25.69277,25.908,bon
cid,ABCM,21,CM,26.0435,26.6115,maintenant
cid,ABCM,22,AB,26.4555,26.57989,tout
cid,ABCM,23,CM,26.6115,26.8915,donc
cid,ABCM,24,AB,26.6875,26.9915,et rien
cid,ABCM,25,CM,26.8915,27.2515,euh
cid,ABCM,26,AB,26.9915,28.32969,est insolite alors allons
cid,ABCM,27,CM,28.05795,28.48461,tout et rien
cid,ABCM,28,AB,28.32969,28.4395,y
cid,ABCM,29,CM,28.48461,29.17795,est insolite
cid,ABCM,30,AB,29.6151,32.3511,bon et si on pérorait sur ce qu'on voit à travers la vitre
cid,ABCM,31,CM,32.32283,32.4411,oh
cid,ABCM,32,AB,32.3511,32.5271,là
cid,ABCM,33,CM,32.4411,32.5371,oui
cid,ABCM,34,AB,32.5271,32.7191,c'est
cid,ABCM,35,CM,32.5371,33.1691,c'est tout à fait
cid,ABCM,36,AB,32.7191,33.2311,génial
cid,ABCM,37,CM,33.1691,33.7211,insolite
cid,ABCM,38,AB,33.2311,33.3271,hein
cid,ABCM,39,CM,33.7211,34.8331,ouais ouais ouais ouais ouais ouais
cid,ABCM,40,AB,34.7741,34.9181,le petit
cid,ABCM,41,CM,34.8331,35.1131,surtout
cid,ABCM,42,AB,34.9181,35.72986,se gratte
cid,ABCM,43,CM,35.1131,35.4811,que là
cid,ABCM,44,AB,35.72986,36.2781,ah
cid,ABCM,45,CM,36.426,36.994,là ils nous voient
cid,ABCM,46,AB,36.986,37.058,et
cid,ABCM,47,CM,36.994,37.33868,pas
cid,ABCM,48,AB,37.058,38.42686,se mord les doigts
cid,ABCM,49,CM,38.27041,38.452,par
cid,ABCM,50,AB,38.42686,38.60066,ou
cid,ABCM,51,CM,38.452,38.604,contre ils
cid,ABCM,52,AB,38.60066,38.794,non
cid,ABCM,53,CM,38.604,39.772,nous entendent hein attention
cid,ABCM,54,AB,39.42205,39.55805,ah
cid,ABCM,55,AB,39.98225,40.47825,non oui
cid,ABCM,56,CM,40.29799,40.98996,nous entendent
cid,ABCM,57,AB,40.47825,42.72625,je crois non il reste discret c'est
cid,ABCM,58,CM,42.596,42.684,mh
cid,ABCM,59,AB,42.72625,43.03025,après
cid,ABCM,60,CM,43.506,43.642,mh
cid,ABCM,61,AB,43.5627,46.9387,ils font les réglages encore un petit peu plus grave plus aigu euh
cid,ABCM,62,AB,48.226,48.642,bah alors
cid,ABCM,63,AB,49.046,49.662,l'insolite
cid,ABCM,64,CM,49.06985,51.06185,bon insolite allez cherche
cid,ABCM,65,AB,50.9347,51.8627,c'est bon comme sujet
cid,ABCM,66,AB,52.69195,53.09195,bah alors
cid,ABCM,67,CM,53.0821,53.40187,c'est
cid,ABCM,68,AB,53.09195,53.53195,est ce que je
cid,ABCM,69,CM,53.40187,53.6981,ça
cid,ABCM,70,AB,53.53195,54.51873,vais remonter
cid,ABCM,71,CM,53.6981,55.1461,n'évoque rien euh
cid,ABCM,72,CM,55.98415,59.2419,euh je suis pas sûre de de bien connaître la définition du mot de euh
cid,ABCM,73,CM,59.92244,60.466,d'insolite
