index,speaker,text,file
0,g,okay the start part is at the top left-hand corner ,q7nc7
1,f,uh-huh ,q7nc7
2,g,okay ,q7nc7
3,f,uh-huh ,q7nc7
4,g,ehm you're coming the s-- for three inches down below that ,q7nc7
5,g,do you have a diamond mine there ,q7nc7
6,f,yeah right ,q7nc7
7,f,on the right-hand side roughly just ,q7nc7
8,g,okay ,q7nc7
9,g,uh-huh ,q7nc7
10,f,right down there ,q7nc7
11,g,right beside it ,q7nc7
12,g,you just go straight down underneath it ,q7nc7
13,f,right okay oops that was ,q7nc7
14,g,do you have a graveyard just along from the diamond mine ,q7nc7
15,f,no ,q7nc7
16,f,i've got a gallows to the left like d-- below the left ,q7nc7
17,g,no ,q7nc7
18,g,no ,q7nc7
19,g,just ignore that ,q7nc7
20,f,right okay ,q7nc7
21,g,do you have carved stones ,q7nc7
22,f,oh no i have got a gold mine but it's it's a it's a good bit below that ,q7nc7
23,g,sorry no ,q7nc7
24,g,i said a graveyard ,q7nc7
25,f,oh sorry ,q7nc7
26,f,no oh no i s-- d-- ,q7nc7
27,g,no it's to the right-hand side of the diamond mine on my map there's a graveyard right beside it ,q7nc7
28,g,okay ,q7nc7
29,f,no i haven't got that ,q7nc7
30,g,well ,q7nc7
31,f,okay ,q7nc7
32,g,so come along to about mm about five six inches anyway straight along to the right ,q7nc7
33,f,underneath the diamond mine ,q7nc7
34,g,underneath the diamond mine ,q7nc7
35,f,right ,q7nc7
36,f,how far underneath the diamond mine ,q7nc7
37,g,it's about an inch or so ,q7nc7
38,f,right okay five inches right along ,q7nc7
39,f,up along to near a r-- a ravine stuff thing ,q7nc7
40,g,no i don't have the ravine ,q7nc7
41,f,i've got ,q7nc7
42,g,do you have carved stones ,q7nc7
43,f,i've got carved stones ,q7nc7
44,f,and then indian country ,q7nc7
45,g,yeah down below it ,q7nc7
46,f,bit underneath it and i've got a ravine right in the middle between they two ,q7nc7
47,g,right well ,q7nc7
48,g,try and ehm go as close to ravine as possible but up towards the carved stones ,q7nc7
49,f,right ,q7nc7
50,f,in a curve or a s-- tight angle ,q7nc7
51,g,in a curve ,q7nc7
52,g,above the carved stones ,q7nc7
53,f,above the carved stones ,q7nc7
54,g,yeah ,q7nc7
55,f,right ,q7nc7
56,f,round the carved stones kind of thing ,q7nc7
57,g,uh-huh right round them ,q7nc7
58,g,and back down towards the indian country ,q7nc7
59,f,right ,q7nc7
60,f,how far down do you want me to go ,q7nc7
61,g,'til you're right above the wigwams ,q7nc7
62,f,okey-dokey ,q7nc7
63,g,okay ,q7nc7
64,f,uh-huh ,q7nc7
65,g,right ,q7nc7
66,g,do you have to the left of the indian country a great rock ,q7nc7
67,f,no ,q7nc7
68,g,no ,q7nc7
69,g,do you have a gold mine ,q7nc7
70,f,yeah ,q7nc7
71,f,it's right it's it's on like the other side ,q7nc7
72,g,okay ,q7nc7
73,f,and it's down a wee bit ,q7nc7
74,g,well yeah ,q7nc7
75,g,well ,q7nc7
76,g,the great rock is level with the indian country and ehm in between the gold mine ,q7nc7
77,f,uh-huh ,q7nc7
78,g,and the indian country ,q7nc7
79,f,right okay ,q7nc7
80,g,so you're trying to avoid that so go down a little bit 'til just underneath where the indian country is ,q7nc7
81,f,how do you mean go down ,q7nc7
82,g,well ,q7nc7
83,f,do i go to the side of the indian country ,q7nc7
84,g,yeah ,q7nc7
85,g,you're heading from the indian country to the gold mine but trying to avoid the gold rock so come down to the bottom of ,q7nc7
86,f,right as if i was going underneath the gold rock if it if i had it there ,q7nc7
87,g,like ,q7nc7
88,g,uh-huh ,q7nc7
89,g,if you had a great rock as if you're going underneath it ,q7nc7
90,f,right okay ,q7nc7
91,g,to the side down by the side of the wigwams underneath this great rock ,q7nc7
92,f,uh-huh ,q7nc7
93,g,then back up and above the gold mine ,q7nc7
94,f,right okay got that ,q7nc7
95,g,okay ,q7nc7
96,g,just going curving along down the side of the gold mine ,q7nc7
97,f,right ,q7nc7
98,g,you're going quite far down maybe ab-- ,q7nc7
99,g,wait a second what do you have underneath the gold mine anything ,q7nc7
100,f,i've i've got a gold mine a totem pole and then a great rock a really good bit down ,q7nc7
101,g,right ,q7nc7
102,f,and then bandit territory right at the bottom ,q7nc7
103,g,right ,q7nc7
104,g,what you're trying to do is avoid the totem pole ,q7nc7
105,f,uh-huh ,q7nc7
106,g,go un-- i would say go underneath the totem pole ,q7nc7
107,g,do you have a trout farm ,q7nc7
108,f,eh aye ,q7nc7
109,f,but it's away over to the right-hand side ,q7nc7
110,g,the right yeah ,q7nc7
111,g,well ,q7nc7
112,g,you're getting from underneath the totem pole above th-- which is above the great rock ,q7nc7
113,f,uh-huh ,q7nc7
114,g,underneath that and then heading across to the right to the trout farm ,q7nc7
115,f,right okay ,q7nc7
116,g,do you have a cavalry ,q7nc7
117,f,no ,q7nc7
118,g,no ,q7nc7
119,g,well ,q7nc7
120,f,i'm up shit creek i haven't got a cavalry ,q7nc7
121,g,go s-- ,q7nc7
122,f,sorry ,q7nc7
123,g,right ,q7nc7
124,g,go straight underneath the trout farm ,q7nc7
125,f,right so ,q7nc7
126,f,i'm coming from a totem pole at a di-- totem pole like in a dinai diagonal across to the trout farm ,q7nc7
127,g,yeah ,q7nc7
128,g,sort of cu-- well curve sort of up to the trout farm ,q7nc7
129,f,right okay ,q7nc7
130,g,go along ,q7nc7
131,f,above or below the trout farm ,q7nc7
132,g,below ,q7nc7
133,f,right okay ,q7nc7
134,g,go along the side of the trout farm ,q7nc7
135,f,uh-huh ,q7nc7
136,g,to the right-hand side ,q7nc7
137,f,uh-huh ,q7nc7
138,g,and about about an inch away from the end of the sheet of paper ,q7nc7
139,f,uh-huh ,q7nc7
140,g,and then go straight d-- ,q7nc7
141,g,do you have a cattle stockade ,q7nc7
142,f,right near near the corner ,q7nc7
143,g,uh-huh ,q7nc7
144,f,right ,q7nc7
145,g,go straight down to the cattle stockade ,q7nc7
146,f,like above or below it ,q7nc7
147,g,below it ,q7nc7
148,f,right okay ,q7nc7
149,g,go along to the end of the cattle stockade ,q7nc7
150,f,along the bottom and left ,q7nc7
151,g,and along the bottom yeah to the left of it ,q7nc7
152,f,right uh-huh ,q7nc7
153,g,um do you have anything between this cattle stockade and the bandit territory ,q7nc7
154,f,i've got a parched river bed ,q7nc7
155,g,right ,q7nc7
156,f,but it's sort of nearer the cattle stockade but roughly in the middle cattle stock-- ,q7nc7
157,g,is it sort of underneath the cattle stockade ,q7nc7
158,f,aye just a wee bit under ,q7nc7
159,g,right ,q7nc7
160,g,well ,q7nc7
161,g,just go a little curve above it ,q7nc7
162,f,uh-huh ,q7nc7
163,g,and then go back down to the side of it and underneath the bandit territory ,q7nc7
164,f,uh-huh ,q7nc7
165,f,right done that uh-huh ,q7nc7
166,g,right underneath it ,q7nc7
167,g,and then just come back up 'til you're level with the top of the plant thing about a ,q7nc7
168,f,what plant thing ,q7nc7
169,g,at th-- at the bandit territory ,q7nc7
170,f,oh right ,q7nc7
171,f,oh the cactus ,q7nc7
172,g,yeah the cactus ,q7nc7
173,f,right uh-huh ,q7nc7
174,g,so you're about an inch away from the edge of the sheet of paper ,q7nc7
175,f,uh-huh ,q7nc7
176,g,and just that's your cross is there that's it finished ,q7nc7
177,f,okey-dokey ,q7nc7
178,f,oh that looks an interes-- ,q7nc7
0,g,right right ,q3ec8
1,g,your start point is eh at the top left corner right ,q3ec8
2,f,i know ,q3ec8
3,g,could you move down straight down from there ,q3ec8
4,g,have you got a haystack on your map ,q3ec8
5,f,yeah ,q3ec8
6,g,right ,q3ec8
7,g,just move straight down from there then past the haystack to eh ,q3ec8
8,f,past the blacksmith ,q3ec8
