corpus,file,dyad,index,speaker,start,stop,text,theme,theme_role,theme_index
cheese,Cheese-AA_OR,AAOR,0,AA,4.54,4.83993,tu as,hetero selection,g,0.0
cheese,Cheese-AA_OR,AAOR,1,OR,5.14,5.82492,mh ouais si tu veux,hetero selection,f,1.0
cheese,Cheese-AA_OR,AAOR,2,OR,6.62,7.00991,frog joke,Lecture frog joke OR,g,0.0
cheese,Cheese-AA_OR,AAOR,3,OR,7.42,10.86995,un jour un ingénieur traversait la rue quand une grenouille l'interpela et dit,Lecture frog joke OR,g,1.0
cheese,Cheese-AA_OR,AAOR,4,OR,11.36,13.83519,si tu m'embrasses je me transforme en belle princesse,Lecture frog joke OR,g,2.0
cheese,Cheese-AA_OR,AAOR,5,OR,14.42,17.24265,il s'accroupit ramassa la grenouille et la mit dans sa poche,Lecture frog joke OR,g,3.0
cheese,Cheese-AA_OR,AAOR,6,OR,17.68,19.8149,la grenouille reprit la parole et dit si tu m'embrasses,Lecture frog joke OR,g,4.0
cheese,Cheese-AA_OR,AAOR,7,OR,20.04,21.22995,et me tranformes en belle princesse,Lecture frog joke OR,g,5.0
cheese,Cheese-AA_OR,AAOR,8,OR,21.54,22.66492,je resterai avec toi une semaine,Lecture frog joke OR,g,6.0
cheese,Cheese-AA_OR,AAOR,9,OR,23.5,25.67993,l'ingénieur sortit la grenouille de sa poche,Lecture frog joke OR,g,7.0
cheese,Cheese-AA_OR,AAOR,10,OR,25.94,27.55105,lui sourit et la remit dans sa poche,Lecture frog joke OR,g,8.0
cheese,Cheese-AA_OR,AAOR,11,OR,28.2,29.40492,puis la grenouille se mit à crier,Lecture frog joke OR,g,9.0
cheese,Cheese-AA_OR,AAOR,12,OR,29.7,33.54492,si tu m'embrasses et me transformes en princesse je resterai avec toi et je ferai tout ce que tu veux,Lecture frog joke OR,g,10.0
cheese,Cheese-AA_OR,AAOR,13,OR,34.4,36.54995,l'ingénieur sortit encore la grenouille de sa poche,Lecture frog joke OR,g,11.0
cheese,Cheese-AA_OR,AAOR,14,OR,36.74,37.22492,lui sourit,Lecture frog joke OR,g,12.0
cheese,Cheese-AA_OR,AAOR,15,OR,37.58,38.48991,et la remit dans sa poche,Lecture frog joke OR,g,13.0
cheese,Cheese-AA_OR,AAOR,16,OR,39.26,39.67993,enfin,Lecture frog joke OR,g,14.0
cheese,Cheese-AA_OR,AAOR,17,OR,39.92,40.84995,la grenouille demanda,Lecture frog joke OR,g,15.0
cheese,Cheese-AA_OR,AAOR,18,OR,41.36,41.81494,qu'est-ce qu'il y a,Lecture frog joke OR,g,16.0
cheese,Cheese-AA_OR,AAOR,19,OR,42.58,47.13494,je t'ai dit que j'étais une belle princesse que je resterai avec toi une semaine et que je ferai tout ce que tu veux pourquoi tu m'embrasses pas,Lecture frog joke OR,g,17.0
cheese,Cheese-AA_OR,AAOR,20,OR,48.52,49.16056,ne m'embrases tu pas,Lecture frog joke OR,g,18.0
cheese,Cheese-AA_OR,AAOR,21,OR,49.64,50.64995,l'ingénieur répondit,Lecture frog joke OR,g,19.0
cheese,Cheese-AA_OR,AAOR,22,OR,50.96,51.28492,écoute,Lecture frog joke OR,g,20.0
cheese,Cheese-AA_OR,AAOR,23,OR,51.54,55.58492,je suis un ingénieur je n'ai pas le temps pour une petite copine mais une grenouile qui parle ça c'est cool,Lecture frog joke OR,g,21.0
cheese,Cheese-AA_OR,AAOR,24,OR,56.8,57.08492,voilà,transition,,0.0
cheese,Cheese-AA_OR,AAOR,25,OR,57.66,58.00995,à toi,,,0.0
cheese,Cheese-AA_OR,AAOR,26,AA,57.94,59.30492,euh donkey joke,Lecture donkey joke,g,0.0
cheese,Cheese-AA_OR,AAOR,27,AA,59.7,62.00995,une voiture a été impliquée dans un accident de la route,Lecture donkey joke,g,1.0
cheese,Cheese-AA_OR,AAOR,28,AA,62.38,64.18995,comme prévu une large foule s'est rassemblée,Lecture donkey joke,g,2.0
cheese,Cheese-AA_OR,AAOR,29,AA,64.6,66.43494,un journaliste anxieux d'avoir son histoire,Lecture donkey joke,g,3.0
cheese,Cheese-AA_OR,AAOR,30,AA,67.46,69.27989,ne pouvait pas s'approcher de la voiture,Lecture donkey joke,g,4.0
cheese,Cheese-AA_OR,AAOR,31,AA,69.96,71.92991,étant quelqu'un de malin il se mit à crier fort,Lecture donkey joke,g,5.0
cheese,Cheese-AA_OR,AAOR,32,AA,72.28,75.20492,laissez moi passer laissez moi passer je suis le fils de la victime,Lecture donkey joke,g,6.0
cheese,Cheese-AA_OR,AAOR,33,AA,75.66,76.89993,la foule s'écarta pour lui,Lecture donkey joke,g,7.0
cheese,Cheese-AA_OR,AAOR,34,AA,77.42,80.04982,étendu devant la voiture il y avait un âne,Lecture donkey joke,g,8.0
cheese,Cheese-AA_OR,AAOR,35,OR,81.3,81.81989,d'accord,Lecture donkey joke,f,9.0
cheese,Cheese-AA_OR,AAOR,36,OR,82.0,82.26991,super,Lecture donkey joke,f,10.0
cheese,Cheese-AA_OR,AAOR,37,AA,83.64,84.52995,voilà,Lecture donkey joke,g,11.0
cheese,Cheese-AA_OR,AAOR,38,OR,86.76,89.38175,mh attends j'avais plein de trucs à dire en même temps ça va être super,transition,,0.0
cheese,Cheese-AA_OR,AAOR,39,AA,86.94,87.26492,et euh,transition,,1.0
cheese,Cheese-AA_OR,AAOR,40,OR,89.88,91.75494,euh pour les partiels ils arrivent bientôt ou pas,,,0.0
cheese,Cheese-AA_OR,AAOR,41,AA,90.24,90.68492,vas y,transition,,2.0
cheese,Cheese-AA_OR,AAOR,42,OR,92.44,93.71494,genre ils sont tous après les vacances,les partiels,g,0.0
cheese,Cheese-AA_OR,AAOR,43,AA,92.54,92.75494,mh,les partiels,f,1.0
cheese,Cheese-AA_OR,AAOR,44,AA,94.6,95.28995,euh ouais,les partiels,f,2.0
cheese,Cheese-AA_OR,AAOR,45,AA,95.98,98.19993,euh oui oui du coup ils ont tous euh,les partiels,f,3.0
cheese,Cheese-AA_OR,AAOR,46,OR,98.16,100.53494,parce que j'ai tu as lu le euh le message de marie,les partiels,g,4.0
cheese,Cheese-AA_OR,AAOR,47,AA,100.8,102.89494,oui oui thomas il nous a dit que euh,les partiels,f,5.0
cheese,Cheese-AA_OR,AAOR,48,OR,101.14,101.51494,sur euh,les partiels,g,6.0
cheese,Cheese-AA_OR,AAOR,49,OR,101.68,102.33993,celui de tournadre,les partiels,g,7.0
cheese,Cheese-AA_OR,AAOR,50,AA,104.28,107.45993,oui ils avaient il avait eu un mail comme quoi le partiel serait le sept,les partiels,f,8.0
cheese,Cheese-AA_OR,AAOR,51,OR,108.4,110.43993,le 7 c'est la première semaine euh dès qu'on reprend,les partiels,g,9.0
cheese,Cheese-AA_OR,AAOR,52,AA,108.76,109.65993,sept janvier je crois,les partiels,f,10.0
cheese,Cheese-AA_OR,AAOR,53,OR,111.12,112.14438,c'est le 4 je crois on reprend,les partiels,g,11.0
cheese,Cheese-AA_OR,AAOR,54,AA,111.44,112.59494,ouais c'est un,les partiels,f,12.0
