corpus,file,dyad,index,speaker,start,stop,text,theme,theme_role,theme_index,has_theme
cheese,Cheese-AA_OR,AAOR,0,AA,4.54,4.83993,tu as,hetero selection,g,0.0,True
cheese,Cheese-AA_OR,AAOR,1,OR,5.14,5.82492,mh ouais si tu veux,hetero selection,f,1.0,True
cheese,Cheese-AA_OR,AAOR,2,OR,6.62,7.00991,frog joke,Lecture frog joke OR,g,0.0,True
cheese,Cheese-AA_OR,AAOR,3,OR,7.42,10.86995,un jour un ingénieur traversait la rue quand une grenouille l'interpela et dit,Lecture frog joke OR,g,1.0,True
cheese,Cheese-AA_OR,AAOR,4,OR,11.36,13.83519,si tu m'embrasses je me transforme en belle princesse,Lecture frog joke OR,g,2.0,True
cheese,Cheese-AA_OR,AAOR,5,OR,14.42,17.24265,il s'accroupit ramassa la grenouille et la mit dans sa poche,Lecture frog joke OR,g,3.0,True
cheese,Cheese-AA_OR,AAOR,6,OR,17.68,19.8149,la grenouille reprit la parole et dit si tu m'embrasses,Lecture frog joke OR,g,4.0,True
cheese,Cheese-AA_OR,AAOR,7,OR,20.04,21.22995,et me tranformes en belle princesse,Lecture frog joke OR,g,5.0,True
cheese,Cheese-AA_OR,AAOR,8,OR,21.54,22.66492,je resterai avec toi une semaine,Lecture frog joke OR,g,6.0,True
cheese,Cheese-AA_OR,AAOR,9,OR,23.5,25.67993,l'ingénieur sortit la grenouille de sa poche,Lecture frog joke OR,g,7.0,True
cheese,Cheese-AA_OR,AAOR,10,OR,25.94,27.55105,lui sourit et la remit dans sa poche,Lecture frog joke OR,g,8.0,True
cheese,Cheese-AA_OR,AAOR,11,OR,28.2,29.40492,puis la grenouille se mit à crier,Lecture frog joke OR,g,9.0,True
cheese,Cheese-AA_OR,AAOR,12,OR,29.7,33.54492,si tu m'embrasses et me transformes en princesse je resterai avec toi et je ferai tout ce que tu veux,Lecture frog joke OR,g,10.0,True
cheese,Cheese-AA_OR,AAOR,13,OR,34.4,36.54995,l'ingénieur sortit encore la grenouille de sa poche,Lecture frog joke OR,g,11.0,True
